,0
151,434537.82881477685
152,434134.1456528669
153,433774.5513580229
154,433455.2856443902
155,433186.41672580066
156,432988.7872949471
157,432900.57685214374
158,433064.6653569534
159,433705.8437637904
160,434985.9097589883
161,437012.97822372825
162,440022.8865578373
163,444291.93642277125
164,449910.5715367754
165,456803.77456049155
166,464852.0062004489
167,473866.0221058763
168,483607.38476466155
169,493751.42365797306
170,503941.4258069739
171,513854.9996998435
172,523295.17674204725
173,532153.4481854778
174,540256.7382876769
175,547462.0017285731
176,553724.7838642615
177,559064.0905532121
178,563484.5391696306
179,567024.9773187435
180,569684.9071018763
181,571505.446348383
182,572547.1363873729
183,572891.2994576008
184,572639.7818838203
185,571880.3289188322
186,570781.1079599945
187,569431.091441026
188,567951.9871192115
189,566414.271885655
190,564856.6516080045
191,563304.1132888456
192,561712.5553410734
193,560083.1825341089
194,558398.5950658506
195,556648.8579800202
196,554779.6240008496
197,552870.6774537911
198,550975.274719828
199,548957.1763055411
200,546795.3602262574
201,544641.3863539567
202,542650.6844810967
203,541006.8550467998
204,539858.0422896812
205,539359.1593263228
206,539855.5964078709
207,541726.4955007355
208,544888.5058227781
209,548987.0550717473
210,553812.3413450558
211,559379.7492271764
212,565448.3829827205
213,571652.279211535
214,578173.8535719553
215,585338.8256831832
216,593392.390048118
217,602519.4530299
218,612755.9953792221
219,623973.772450118
220,635659.6372696323
221,647012.7688826534
222,657133.6630590472
223,665194.55295509
224,670675.336765002
225,673303.3356156152
226,673105.0677599404
227,670425.0475835721
228,665784.1740147423
229,659652.5942369768
230,652309.2574970196
231,643939.1155867222
232,634802.0376941299
233,625129.1336045252
234,615094.9707120984
235,604874.4774178646
236,594652.7981314108
237,584639.1962736676
238,575086.3620848802
239,566235.4057239541
240,558262.2532064021
241,551239.6752703852
242,545180.9249852473
243,539995.2842433273
244,535533.9431239624
245,531628.6845610702
246,528119.4438222202
247,524918.2803111535
248,521917.80812607426
249,518999.5437367603
250,516020.07036771136
251,512851.44002244534
252,509379.7736734767
253,505547.91594496975
254,501383.2789755422
255,496963.6665502678
256,492355.2065182994
257,487640.46843937226
258,482950.2332443982
259,478370.10467673297
260,473941.2294886764
261,469693.5710952664
262,465678.06855892885
263,461929.6741243352
264,458459.79282085807
265,455273.6628817555
266,452364.5190633575
267,449715.83561196626
268,447312.12618279614
269,445131.1525131464
270,443150.125744337
271,441357.59057255485
272,439746.16937510297
273,438297.19640312885
274,436993.54139821767
275,435826.01746353507
276,434785.21782728453
277,433852.6499754319
278,433011.8057200476
279,432255.62604512967
280,431576.52132732864
281,430958.831381324
282,430386.5568207517
283,429854.2752746443
284,429355.29357955366
285,428885.1682018093
286,428441.8603008532
287,428023.2910588614
288,427632.5375138717
289,427269.1235729908
290,426936.5054525661
291,426633.4499145174
292,426355.7714602544
293,426097.51953432756
294,425844.0624574374
295,425584.0042859537
296,425307.30588041997
297,425011.7660683503
298,424701.26749026077
299,424394.22149422154
300,424136.0798086338
301,423995.58394783427
302,424101.3431989113
303,424675.7571489225
304,425983.25481708394
305,428341.33686016966
306,431917.18638679525
307,436775.00930877245
308,442906.4013145316
309,450196.0419235812
310,458421.03607305355
311,467314.801271393
312,476729.9891910047
313,486284.8399602817
314,495628.8901524705
315,504483.32695838966
316,512581.353311538
317,519826.7416615907
318,526091.9736162444
319,531565.8496877621
320,536390.9430404772
321,540651.3566045562
322,544502.5434925284
323,547886.6039034105
324,550778.4448342915
325,553163.9270531008
326,555054.453166347
327,556489.8272050562
328,557433.0132610038
329,557869.6431414153
330,557821.6080336379
331,557332.188779394
332,556448.041876506
333,555185.6997415486
334,553647.9681536561
335,551941.3883434539
336,550155.9564049531
337,548307.2810376014
338,546183.8867450915
339,543758.2431227277
340,541537.581113836
341,539970.4795613027
342,539432.958570505
343,540015.5066826835
344,542074.968847081
345,545983.8501982612
346,551238.0162138527
347,557226.2684078213
348,563605.977988945
349,570467.1259083309
350,577741.7986656185
351,585067.5193628094
352,592349.120301411
353,599846.1490341934
354,607606.0937072515
355,615460.5906711945
356,623151.3068341318
357,630367.0615815897
358,637057.871216939
359,642819.4710907667
360,647262.8545434573
361,650137.3532152713
362,651535.4672307805
363,651752.5825501528
364,650877.8775505979
365,649017.4470499393
366,646261.826229561
367,642705.4825800871
368,638349.5269849353
369,633175.8230911669
370,627180.8504765233
371,620513.8915202636
372,613347.2639868
373,605843.0369233008
374,598134.8385808663
375,590355.3098932735
376,582627.986063429
377,575078.6040724417
378,567802.0281550135
379,560855.316772396
380,554264.7059138743
381,547995.999268531
382,541982.8993866913
383,536165.5603013849
384,530462.9540004764
385,524802.3106543791
386,519104.3942621844
387,513309.47061155224
388,507437.91160229826
389,501507.0122476297
390,495583.2429291821
391,489750.4798878533
392,484120.7126196017
393,478805.17332377
394,473848.8844274388
395,469277.6415642527
396,465102.38987359824
397,461316.0612537306
398,457898.8166836162
399,454830.4403867765
400,452086.3402875553
401,449648.054157726
402,447491.22130520135
403,445590.5845779933
404,443918.7855947925
405,442449.0825933292
406,441159.4989802793
407,440023.888412348
408,439019.76488892967
409,438122.6944262828
410,437319.9376023582
411,436602.682458618
412,435966.5411872775
413,435417.4267893846
414,434960.3570175196
415,434605.549091686
416,434355.2114529642
417,434210.8620260237
418,434169.8780599387
419,434222.03870040807
420,434349.5831385061
421,434531.62143568014
422,434746.834806344
423,434968.0060010513
424,435167.06371058454
425,435315.77792809595
426,435398.16743870574
427,435411.6809659937
428,435358.8358662757
429,435250.23822932364
430,435098.1138298924
431,434917.9629442393
432,434721.5946144082
433,434514.48088009097
434,434302.55049095553
435,434088.1390884731
436,433873.57141122426
437,433659.8844452561
438,433449.238174357
439,433244.2771552338
440,433041.42402830976
441,432837.08326252335
442,432630.0252540918
443,432444.67490101414
444,432318.9742628743
445,432309.03809516336
446,432568.76312276494
447,433369.53319772024
448,434964.80297405453
449,437499.57423500094
450,441207.90357490774
451,446252.61960899463
452,452680.53086983674
453,460346.6440542272
454,468964.3304946536
455,478336.38294441835
456,488155.27613457927
457,498170.495860157
458,508023.34368049185
459,517420.5506133574
460,526217.628674244
461,534296.256059141
462,541581.3071569285
463,547973.1964783795
464,553498.1073154745
